Benchmark Year,Month,Town,Metric,Value
2019,Dec 2019,WATERFORD,Labor Force,10135
2019,Dec 2019,WATERTOWN,Labor Force,13130
2019,Dec 2019,WEST HARTFORD,Labor Force,35218
2019,Dec 2019,WEST HAVEN,Labor Force,30708
2019,Dec 2019,WESTBROOK,Labor Force,3747
2019,Dec 2019,WESTON,Labor Force,4388
2019,Dec 2019,WESTPORT,Labor Force,12876
2019,Dec 2019,WETHERSFIELD,Labor Force,14264
2019,Dec 2019,WILLINGTON,Labor Force,3724
2019,Dec 2019,WILTON,Labor Force,8496
2019,Dec 2019,WINCHESTER,Labor Force,6175
2019,Dec 2019,WINDHAM,Labor Force,12614
2019,Dec 2019,WINDSOR,Labor Force,7788
2019,Dec 2019,WINDSOR LOCKS,Labor Force,16902
2019,Dec 2019,WOLCOTT,Labor Force,10080
2019,Dec 2019,WOODBRIDGE,Labor Force,4881
2019,Dec 2019,WOODBURY,Labor Force,5619
2019,Dec 2019,WOODSTOCK,Labor Force,4262
2019,Dec 2020,ANDOVER,Labor Force,1822
2019,Dec 2020,ANSONIA,Labor Force,8078
2019,Dec 2020,ASHFORD,Labor Force,2422
2019,Dec 2020,AVON,Labor Force,8920
2019,Dec 2020,BARKHAMSTED,Labor Force,2148
2019,Dec 2020,BEACON FALLS,Labor Force,3188
2019,Dec 2020,BERLIN,Labor Force,11075
2019,Dec 2020,BETHANY,Labor Force,2931
2019,Dec 2020,BETHEL,Labor Force,9861
2019,Dec 2020,BETHLEHEM,Labor Force,1759
2019,Dec 2020,BLOOMFIELD,Labor Force,11017
2019,Dec 2020,BOLTON,Labor Force,2992
2019,Dec 2020,BOZRAH,Labor Force,1270
2019,Dec 2020,BRANFORD,Labor Force,15068
2019,Dec 2020,BRIDGEPORT,Labor Force,59926
2019,Dec 2020,BRIDGEWATER,Labor Force,762
2019,Dec 2020,BRISTOL,Labor Force,30655
2019,Dec 2020,BROOKFIELD,Labor Force,8429
2019,Dec 2020,BROOKLYN,Labor Force,3786
2019,Dec 2020,BURLINGTON,Labor Force,5363
2019,Dec 2020,CANAAN,Labor Force,586
2019,Dec 2020,CANTERBURY,Labor Force,2587
2019,Dec 2020,CANTON,Labor Force,5387
2019,Dec 2020,CHAPLIN,Labor Force,1173
2019,Dec 2020,CHESHIRE,Labor Force,14807
2019,Dec 2020,CHESTER,Labor Force,2205
2019,Dec 2020,CLINTON,Labor Force,6832
2019,Dec 2020,COLCHESTER,Labor Force,8841
2019,Dec 2020,COLEBROOK,Labor Force,761
2019,Dec 2020,COLUMBIA,Labor Force,3038
2019,Dec 2020,CORNWALL,Labor Force,703
2019,Dec 2020,COVENTRY,Labor Force,7373
2019,Dec 2020,CROMWELL,Labor Force,7468
2019,Dec 2020,DANBURY,Labor Force,42760
2019,Dec 2020,DARIEN,Labor Force,7714
2019,Dec 2020,DEEP RIVER,Labor Force,2687
2019,Dec 2020,DERBY,Labor Force,5897
2019,Dec 2020,DURHAM,Labor Force,4037
2019,Dec 2020,EAST GRANBY,Labor Force,2900
2019,Dec 2020,EAST HADDAM,Labor Force,4692
2019,Dec 2020,EAST HAMPTON,Labor Force,7274
2019,Dec 2020,EAST HARTFORD,Labor Force,25024
2019,Dec 2020,EAST HAVEN,Labor Force,14624
2019,Dec 2020,EAST LYME,Labor Force,7637
2019,Dec 2020,EAST WINDSOR,Labor Force,5725
2019,Dec 2020,EASTFORD,Labor Force,930
2019,Dec 2020,EASTON,Labor Force,3426
2019,Dec 2020,ELLINGTON,Labor Force,8958
2019,Dec 2020,ENFIELD,Labor Force,20368
2019,Dec 2020,ESSEX,Labor Force,3211
2019,Dec 2020,FAIRFIELD,Labor Force,26231
2019,Dec 2020,FARMINGTON,Labor Force,13410
2019,Dec 2020,FRANKLIN,Labor Force,950
2019,Dec 2020,GLASTONBURY,Labor Force,17985
2019,Dec 2020,GOSHEN,Labor Force,1497
2019,Dec 2020,GRANBY,Labor Force,6491
2019,Dec 2020,GREENWICH,Labor Force,25863
